TgDgSl 11(0)	Sri Lanka	7.001588703	81.00831184
TgDgSl 12(0)	Sri Lanka	7.001857186	81.00805655
TgDgSl 13(0)	Sri Lanka	7.000784517	81.00185815
TgDgSl 14(0)	Sri Lanka	7.006721281	81.00288354
TgDgSl 16(0)	Sri Lanka	7.008463973	81.00422825
TgDgSl 18(0)	Sri Lanka	7.003456123	81.00762098
TgDgSl 21(0)	Sri Lanka	7.00286566	81.00757948
TgDgSl 22(0)	Sri Lanka	7.009221309	81.00606043
TgDgSl 23(0)	Sri Lanka	7.00345203	81.00448485
TgDgSl 4(0)	Sri Lanka	7.004515502	81.00310601
TgDgSl 5(0)	Sri Lanka	7.001211073	81.00591954
TgDgSl1(0)	Sri Lanka	7.008075484	81.00415058
TgDgSl10(0)	Sri Lanka	7.007011284	81.00791029
TgDgSl15(0)	Sri Lanka	7.008711364	81.0044699
TgDgSl17(0)	Sri Lanka	7.004372764	81.00889572
TgDgSl19(0)	Sri Lanka	7.003565589	81.00601783
TgDgSl2(0)	Sri Lanka	7.009283305	81.00395071
TgDgSl20(0)	Sri Lanka	7.007808561	81.00753658
TgDgSl24(0)	Sri Lanka	7.003500691	81.00666208
TgDgSl3(0)	Sri Lanka	7.00167773	81.00000754
TgDgSl6(0)	Sri Lanka	7.006802539	81.00278163
TgDgSl7(0)	Sri Lanka	7.000847443	81.00303606
TgDgSl8(0)	Sri Lanka	7.006612773	81.00989926
TgDgSl9(0)	Sri Lanka	7.008893339	81.00459974
TgWolfMN10(0)	USA	46.62775	-92.56551
TgWolfMN11(0)	USA	47.8083	-94.67914
TgWolfMN12(0)	USA	47.8763	-93.64966
TgWolfMN13(0)	USA	45.96829	-92.76389
TgWolfMN14(0)	USA	45.96854098	-92.75710952
TgWolfMN15(0)	USA	45.97754768	-92.75762019
TgWolfMN16(0)	USA	45.97689403	-92.76005747
TgWolfMN17(0)	USA	47.06196	-92.79582
TgWolfMN18(0)	USA	46.83939	-95.34077
TgWolfMN19(0)	USA	47.04742	-91.67799
TgWolfMN20(0)	USA	46.81237	-94.28989
TgWolfMN21(0)	USA	47.07829	-93.58183
TgWolfMN22(0)	USA	46.55508	-93.69721
TgWolfMN23(0)	USA	46.72381	-94.75498
TgWolfMN24(0)	USA	46.64311	-92.8196
TgWolfMN25(0)	USA	46.00503	-92.54156
TgWolfMN26(0)	USA	46.66622	-94.77565
TgWolfMN27(0)	USA	46.70925	-94.73335
TgWolfMN28(0)	USA	46.68661	-92.81987
TgWolfMN29(0)	USA	46.58417	-92.51895
TgWolfMN5(0)	USA	47.86754	-94.38579
TgWolfMN6(0)	USA	47.27549	-93.73437
TgWolfMN7(0)	USA	47.28271264	-93.72954026
TgWolfMN8(0)	USA	47.88188	-94.38597
TgWolfMN9(0)	USA	46.5004	-92.94873
TgDogEg1	Egypt	30.01762704	31.22601072
TgDogEg10	Egypt	30.02148932	31.21670774
TgDogEg11	Egypt	30.0227655	31.2172082
TgDogEg12	Egypt	30.02563927	31.21994833
TgDogEg13	Egypt	30.02540151	31.22213033
TgDogEg14	Egypt	30.01858656	31.22202939
TgDogEg15	Egypt	30.01690608	31.22069014
TgDogEg16	Egypt	30.02300077	31.21794097
TgDogEg17	Egypt	30.02313607	31.22176646
TgDogEg18	Egypt	30.0236182	31.21726064
TgDogEg19	Egypt	30.01731935	31.22090871
TgDogEg19_B	Egypt	30.0249703	31.22142318
TgDogEg2	Egypt	30.01981958	31.21832406
TgDogEg20	Egypt	30.02064085	31.21841903
TgDogEg22	Egypt	30.02377476	31.22365674
TgDogEg3	Egypt	30.02581185	31.21973583
TgDogEg4	Egypt	30.02070034	31.22489834
TgDogEg5	Egypt	30.01845874	31.21975498
TgDogEg6	Egypt	30.01955424	31.2254259
TgDogEg8	Egypt	30.01753455	31.22296833
TgCkGr37(0)	Grenada	12.1717346	-61.72442238
TgCkGr38(0)	Grenada	12.17513242	-61.72735107
TgCkGr39(0)	Grenada	12.17499443	-61.72570284
TgCkGr40(0)	Grenada	12.17489452	-61.72616209
TgCkGr41(0)	Grenada	12.16703006	-61.72379938
TgCkGr42(0)	Grenada	12.19302435	-61.69456898
TgCkGr43(0)	Grenada	12.18558104	-61.6947863
TgCkGr45(0)	Grenada	12.20601389	-61.64055556
TgCkGr46(0)	Grenada	12.2059275	-61.64055556
TgCkGr47(0)	Grenada	12.05984265	-61.74255831
TgCkGr48(0)	Grenada	12.05360067	-61.74857665
TgCkGr49(0)	Grenada	12.05522347	-61.74858567
TgCkGr50(0)	Grenada	12.05954303	-61.74198328
TgCkGr51(0)	Grenada	12.11969004	-61.61889199
TgCkGr52(0)	Grenada	12.12354323	-61.62025271
TgCkGr53(0)	Grenada	12.12272564	-61.62034445
TgCkGr54(0)	Grenada	12.11959656	-61.61720559
TgCkGr55(0)	Grenada	12.12675379	-61.61670474
TgCkGr56(0)	Grenada	12.12266713	-61.62218524
TgCkGr57(0)	Grenada	12.12324971	-61.62407511
TgDoveBr1	Brazil	-23.52888972	-51.01265659
TgDoveBr10	Brazil	-23.5284039	-51.00756084
TgDoveBr11	Brazil	-23.53613568	-51.00368845
TgDoveBr12	Brazil	-23.53727119	-51.01243908
TgDoveBr2	Brazil	-23.5332493	-51.0042642
TgDoveBr6	Brazil	-23.53091226	-51.01092618
TgDoveBr7	Brazil	-23.53217142	-51.01288718
TgDoveBr8	Brazil	-23.53766096	-51.01212965
TgDoveBr9	Brazil	-23.53192061	-51.00525481
TgCatTr_Izmir1	Turkey	38.41902	27.1460305
