country	Argentina	-34.925528	-57.950715
country	Austria	46.991531	15.303803
country	Brazil	-17.898370	-45.978097
country	Burkina Faso	12.238300	-1.561600
country	Canada	51.336421	-57.401118
country	Chile	-38.734234	-72.930068
country	China	34.033711	117.035566
country	Colombia	4.606457	-74.256368
country	Congo	-4.359644	15.340247
country	Costa Rica	10.054087	-84.404874
country	Egypt	30.070941	31.170219
country	Ethiopia	9.028356	38.751729
country	Ghana	6.752688	-1.743441
country	Grenada	12.130423	-61.677482
country	Guatemala	14.813178	-90.617541
country	Guyana	6.552453	-57.807649
country	Indonesia	-7.750000	109.950000
country	Israel	31.787275	35.221152
country	Italy	40.957019	16.952765
country	Kenya	0.583331	34.466667
country	Mali	17.576856	-3.991655
country	Mexico	20.428706	-99.351239
country	Nicaragua	12.744068	-82.416054
country	Peru	-12.289365	-76.978380
country	Plateau	9.166667	9.750000
country	Poland	54.340597	18.188938
country	Portugal	40.898741	-8.702909
country	Puerto Rico	18.088880	-67.893660
country	Sri Lanka	7.005054	81.005418
country	St. Kitts	17.363916	-62.778416
country	Svalbard	77.880486	20.979710
country	Turkey	38.470852	27.141581
country	USA	40.214448	-88.998438
country	Venezuela	90.425563	-70.311809
country	Vietnam	11.423500	106.744225
region	Africa	24.495830	30.703784
region	Arctic	77.880486	20.979710
region	Asia	26.921449	85.463418
region	Caribbean	14.304412	-63.296301
region	Central America	11.691574	-83.554626
region	Europe	45.845053	11.060732
region	Hawaii	21.301181	-157.788917
region	North America	40.364859	-86.937580
region	South America	-14.877368	-49.910080
city	Abou Rawash	30.022037	31.221937
city	Abou-rawash	30.021338	31.220860
city	Addis Ababa	9.028356	38.751729
city	Agua Branca	-7.507684	-37.632796
city	Alagoas	-22.415746	-44.289425
city	Alajuela	10.004971	-84.161906
city	Albergaria-a-Velha	40.689556	-8.461330
city	Alpena	45.064478	-83.430795
city	Andradina	-20.890224	-51.379489
city	Aquidauana	-20.462658	-55.780500
city	Aracatuba	-21.207605	-50.419824
city	Araraquara	-21.250949	-48.312795
city	Areial	-7.162778	-36.825000
city	Armenia	4.537741	-75.700147
city	Azores Island	38.500000	-28.000000
city	Bad Gleichenberg	48.038442	14.653902
city	Bahia	-11.096500	-40.452325
city	Balc¸ova	38.389100	27.050000
city	Baltimore/ Maryland	39.295012	-76.607918
city	Barcelos	41.538798	-8.612293
city	Bay (MI)	43.711000	-84.016700
city	Bedford (PA)	40.018700	-78.503900
city	Bel Air Estate	6.324267	-57.561409
city	Belladrum	6.500000	-57.700000
city	Ben Cat BD	11.150000	106.600000
city	Bien Hoa DN	10.950000	106.816667
city	Bladen (NC)	34.590227	-78.562085
city	Bogota	4.615047	-74.075896
city	Bossier	32.755100	-93.662300
city	Bourbon (KS)	37.795700	-94.810600
city	British Columbia	49.249444	123.119167
city	Bueno Aires City	-34.925528	-57.950715
city	Bush Lot	6.200000	-57.266667
city	Campina Grande	-7.230833	-35.881667
city	Cangucu	-31.395000	-52.675833
city	Canguc¸u	-31.390260	-52.680199
city	Capao do Leao	-31.762778	-52.483889
city	Capa˜o do Lea˜o	-31.759273	-52.446794
city	Castanhal	-1.290662	-47.918007
city	Ceara	-14.958544	-46.233799
city	Central Mineira	-18.761944	-41.305833
city	Changning Hunan	26.422222	112.400000
city	Chesapeake City (VA)	36.769592	-76.287367
city	Chicot (AR)	33.344146	-91.284771
city	China	35.006109	105.004858
city	Choctaw (OK)	33.985100	-95.519700
city	Chol-Chol-1	-38.640329	-73.356150
city	Clallam	48.118263	-123.432719
city	Clallam/ Shi shi beach	48.275900	-124.680300
city	Clay	33.279500	-85.848600
city	Clinton (NY)	43.048400	-75.378500
city	Colatina	-19.532172	-40.626209
city	Colina	-20.716111	-48.545833
city	Colombus (NC)	35.253200	-82.197100
city	Conchas	-22.979579	-48.007107
city	Confresa	-10.636504	-51.561592
city	Coosa	32.889800	-86.219700
city	Cordeiropolis	-22.476042	-47.450359
city	Cosmorama	-20.470311	-49.768311
city	Costa Rica	10.000000	-84.000000
city	Cottage	6.636504	-57.828938
city	Culpepper (VA)	38.491800	-77.973900
city	Cuyahoga	41.438283	-81.673786
city	Dan Amstel	6.841180	-58.246086
city	Dane	43.205706	-89.742492
city	Desha (AR)	35.740119	-91.676361
city	Dong Xaoi BH	11.553472	106.883056
city	Du Page (IL)	41.824400	-88.090100
city	Duplin (NC)	34.884000	-78.019500
city	Durango	20.904111	-99.228158
city	Dutchess	41.778400	-73.747800
city	East Feliciana	30.851030	-91.016741
city	El Espana	12.871616	-85.137367
city	El Sauce	12.889531	-86.535795
city	El-Beheira Governorate	30.988138	30.205433
city	Eldorado	-23.792873	-54.277755
city	Esperanca	-7.019579	-35.855714
city	Espirito Santo do Pinhal	-22.176883	-46.755700
city	Essex	40.799064	-74.262348
city	Estacion	12.887082	-86.537485
city	Feira de Santana	-12.270217	-38.951604
city	Fernando de Noronha	-3.852945	-32.409142
city	Fulton (IL)	41.867300	-90.159600
city	Fulton (PA)	39.904900	-78.156400
city	Gallia (OH)	38.866985	-82.339248
city	Georgetown (SC)	33.424367	-79.284560
city	Georgetown area	6.806111	-58.143213
city	Gibraltar	6.300000	-57.400000
city	Gioia del Colle	40.957019	16.952765
city	Grays Harbor/ 1 st beach	47.903889	-124.633333
city	Grays Harbor/ Bonge beach	46.849419	-124.110179
city	Grays Harbor/ Bottle beach	46.893039	-124.040989
city	Grays Harbor/ Copalis beach	47.122378	-124.169262
city	Grays Harbor/ Damon road beach	47.134717	-124.047749
city	Grays Harbor/ Moclips beach	47.236111	-124.212778
city	Grays Harbor/ Ocean city beach	47.070000	-124.165833
city	Grays Harbor/ Pacific beach	47.205333	-124.202000
city	Grays Harbor/ Quinault beach	46.976667	-123.810000
city	Grays Harbor/ Roosevelt beach	47.179517	-124.188388
city	Greene	33.519017	-83.162969
city	Groß St. Florian	46.822100	15.321701
city	Guaira	-24.074881	-54.252541
city	Guangzhou	23.122754	131.033950
city	Guarapari	-20.646114	-40.500484
city	Guatemala	14.813178	-90.617541
city	Gwinnett	33.919100	-84.016700
city	Hemphill (TX)	35.902200	-100.349800
city	Hennepin	45.020900	-93.509500
city	Heredia	10.003521	-84.126192
city	Herval	-32.023889	-53.395833
city	Honalulu	21.310480	-157.853364
city	Huzhu	26.968500	114.833000
city	Iberville	30.850302	-91.018929
city	Ilheus- Itabuna	-14.791365	-39.031177
city	Illinois	41.853408	-87.644768
city	Inhangapi	-1.348333	-47.910556
city	Iowa	42.114931	-71.033012
city	Ithaca	6.234024	-57.545525
city	J + K	46.870700	15.905773
city	Jaborandi	-20.900000	-47.266667
city	Jaboticabal	-21.249694	-48.318005
city	Jackson (OH)	39.006000	-82.648300
city	Jaguarao	-32.565833	-53.375833
city	Jefferson/ Kalaloch beach	47.611439	-124.364666
city	Jefferson/ Olympic national park beach	47.813901	-123.690832
city	Jerusalem	31.787275	35.221152
city	Jewell	39.671400	-98.153700
city	Jingyuan Gansu	36.566667	104.683333
city	Kalawao (HI)	21.180300	-156.951100
city	Karsiyaka	38.523854	27.142141
city	Kartuzy/ Pomeranian Province	54.340597	18.188938
city	Kinshasa	-4.321944	15.321111
city	Kisumu	0.583331	34.466667
city	Konak	38.420726	27.150124
city	Kumasi	6.752688	-1.743441
city	Kuujjuaq	58.083333	-68.416667
city	La Cruz	11.087821	-85.646332
city	La Suiza	12.872766	-86.526631
city	Labranza	-38.674317	-73.306998
city	Laguneta	13.403761	-86.508339
city	Lake Manitoba	50.174757	-99.779275
city	Lawrence (IN)	39.844303	-86.021172
city	Lee (VA)	36.707600	-83.036100
city	Liaoning Province	41.808069	123.429586
city	Limete	-4.348719	15.338889
city	Linhares	-19.387031	-40.065300
city	Londrina	-23.532957	-51.009090
city	Long Thanh DN	10.283333	106.450000
city	Lorain (OH)	41.411700	-82.127800
city	Los Chiles	11.072678	-84.729465
city	Mahaica	6.691512	-57.912330
city	Malta	-6.899213	-37.517680
city	Manitoba	50.170330	-99.776644
city	Manquehue	-38.760787	-72.922620
city	Maranha˜o	-3.735316	-43.354665
city	Marechal Floriano	-20.406889	-40.671707
city	Marilia	-22.220833	-49.948611
city	Marituba	-1.355278	-48.343333
city	Marquette (MI)	46.644600	-87.559400
city	Maryland	39.235353	-76.686538
city	Masina	-4.378913	15.392392
city	Massachusetts	41.954495	-73.227576
city	Metropolitana de Belo Horizonte	-19.809356	-43.949954
city	Midland (MI)	43.615600	-84.247200
city	Minnesota	47.276604	-94.054235
city	Moc Hoa LA	10.766667	105.933333
city	Mohave (AZ)	35.214300	-113.763300
city	Mon Repos	6.807337	-58.044338
city	Mona Island	18.088880	-67.893660
city	Monte Negro	-9.736613	-62.693922
city	Monteiro	-7.886225	-37.112692
city	Montgomery (AL)	32.379200	-86.307700
city	Mosteiro (Vila do Conde)	41.338498	-8.694848
city	Netos (Figueira da Foz)	40.233333	8.750000
city	Nevada (CA)	39.261600	-121.016100
city	New Jersey	40.058300	-74.405700
city	Ngaliema	-4.369733	15.256448
city	Niagara	-38.663269	-73.286824
city	Noroeste de Minas	-18.510774	-44.549265
city	Norte de Minas	-18.528406	-44.548357
city	Northeast Parana state	-23.287590	-51.167775
city	Northwestern Maryland	39.273972	-77.174270
city	Nueva Imperial	-38.639426	-73.315810
city	Oeste de Minas	-20.117100	-44.902581
city	Olho d' Agua	-7.204527	-37.745588
city	Olho d' agua	-7.200429	-37.746506
city	Onverwagt	6.421798	-57.611363
city	Orleans (LA)	30.068911	-89.925996
city	Osasco	-23.525311	-46.781410
city	Osceola - Iowa	41.039523	-93.762049
city	Pacific/ Cape disappointment state park	46.299600	-124.065400
city	Palma	12.037475	-85.261862
city	Panales	12.892191	-86.533972
city	Panales 2	12.893903	-86.532513
city	Panyu Guangdong	22.936389	113.384167
city	Paradise	6.769660	-57.994800
city	Parana	-22.996366	-53.191837
city	Pasco (FL)	28.323200	-82.431900
city	Patos	-7.020878	-37.273085
city	Pavon	12.900000	-86.566667
city	Pelotas	-31.763378	-52.443879
city	Pernambuco	-8.212640	-35.772730
city	Phillips (AR)	34.461100	-90.867500
city	Pirassununga	-21.991759	-47.423356
city	Piratini	-31.447778	-53.103889
city	Pooled Tissues	12.892666	-86.537753
city	Pooled chicken tissues	-30.034600	-51.217700
city	Porter	41.527882	-87.099356
city	Province Central Java subdistrict Muntilan	-7.750000	109.950000
city	Quixaba	-7.056685	-37.154656
city	Recife	-8.054167	-34.881389
city	Reynolds (MO)	37.400900	-91.073500
city	Ribeirao Preto	-21.172688	-47.815593
city	Riegersburg	47.005502	15.938282
city	Rio Grande	-32.028597	-52.096367
city	Rio Grande do Norte	-9.131678	-38.958343
city	Rio de Janeiro	-22.905924	-43.204418
city	Sabana Grande de Monay	90.425563	-70.311809
city	Salvador	-12.967368	-38.507712
city	San Jose	9.437110	-84.000944
city	San Juan de Miraflores	-12.289365	-76.978380
city	San Nicolas	12.939503	-86.342578
city	Santa Cruz	11.491615	0.004632
city	Santa Isabel	-1.290466	-48.157712
city	Santa Isabel do Ivai	-22.995244	-53.190995
city	Santa Teresa	11.725900	-86.209277
city	Santarem - Para	-2.436377	-54.693633
city	Santare´m	-2.434253	-54.693190
city	Sao Jose do Bonfim	-7.165278	-37.307222
city	Sao Jose do Rio Preto	-20.816296	-49.371273
city	Sao Paulo	-23.543288	-46.549762
city	Sao Paulo City	-23.544125	-46.632234
city	Sao Paulo city	-23.544807	-46.634475
city	Scott	38.317200	-84.564100
city	Sergipe	-10.687200	-37.432900
city	Serra	-20.129444	-40.308056
city	Shanghai	31.222222	121.458067
city	Sharkey (MS)	32.986100	-90.829400
city	Soesdyke	6.540207	-57.230423
city	Sri Lanka	7.005054	81.005418
city	St Andrew	12.122604	-61.619951
city	St David	12.049903	-61.676797
city	St Georges	12.057052	-61.745426
city	St John	12.171742	-61.726795
city	St Mark	12.189303	-61.694678
city	St Patrick	12.207450	-61.638302
city	State of Mexico	19.359044	-99.628172
city	Sul/Sudoeste de Minas	-18.509513	-44.547102
city	Tallapoosa	32.920100	-85.848600
city	Tan An LA	10.542262	106.410372
city	Tangshan Nanjing	39.629167	118.174167
city	Teodoro Smith	-38.639395	-73.292890
city	Terra Alta	-1.037952	-47.901064
city	Thuan An BD	15.600000	108.450000
city	Tillman (OK)	34.450184	-98.921230
city	Tololos	12.854200	-86.527189
city	Triangulo Mineiro/ Alto do Paranaiba	-18.992312	-46.309257
city	Trovolhue	-38.768357	-72.654379
city	Uberlandia	-18.911389	-48.262222
city	Union	34.056219	-118.236502
city	Union (AR)	33.148839	-92.536713
city	Unterbergla	46.807932	15.305320
city	Vale do Jequitinhonha	-16.707612	-41.710121
city	Vale do Rio Doce	-18.843426	-41.300240
city	Valle San Antonio	12.652535	-86.094080
city	Valparaiso	-21.174170	-50.865794
city	Vernon	34.006149	-118.228893
city	Victoria	6.750000	-57.966667
city	Vila Velha	-20.325640	-40.288850
city	Vom	9.166667	9.750000
city	Vreed-en-Hoop	6.819551	-58.179552
city	Wabaunsee	38.909200	-96.152700
city	Washington (IN)	38.674500	-86.175200
city	West Feliciana (LA)	30.843645	-91.395547
city	Wies	46.721497	15.272066
city	Wismar	6.004915	-58.290780
